"State","Population","Murder.Rate","NA","NA.1","NA.2","Abbreviation"
"Alabama",4779736,5.7,"AL","(4.23e+06,7.9e+06]","AL","AL"
"Alaska",710231,5.6,"AK","[5.64e+05,4.23e+06]","AK","AK"
"Arizona",6392017,4.7,"AZ","(4.23e+06,7.9e+06]","AZ","AZ"
"Arkansas",2915918,5.6,"AR","[5.64e+05,4.23e+06]","AR","AR"
"California",37253956,4.4,"CA","(3.36e+07,3.73e+07]","CA","CA"
"Colorado",5029196,2.8,"CO","(4.23e+06,7.9e+06]","CO","CO"
"Connecticut",3574097,2.4,"CT","[5.64e+05,4.23e+06]","CT","CT"
"Delaware",897934,5.8,"DE","[5.64e+05,4.23e+06]","DE","DE"
"Florida",18801310,5.8,"FL","(1.52e+07,1.89e+07]","FL","FL"
"Georgia",9687653,5.7,"GA","(7.9e+06,1.16e+07]","GA","GA"
"Hawaii",1360301,1.8,"HI","[5.64e+05,4.23e+06]","HI","HI"
"Idaho",1567582,2,"ID","[5.64e+05,4.23e+06]","ID","ID"
"Illinois",12830632,5.3,"IL","(1.16e+07,1.52e+07]","IL","IL"
"Indiana",6483802,5,"IN","(4.23e+06,7.9e+06]","IN","IN"
"Iowa",3046355,1.9,"IA","[5.64e+05,4.23e+06]","IA","IA"
"Kansas",2853118,3.1,"KS","[5.64e+05,4.23e+06]","KS","KS"
"Kentucky",4339367,3.6,"KY","(4.23e+06,7.9e+06]","KY","KY"
"Louisiana",4533372,10.3,"LA","(4.23e+06,7.9e+06]","LA","LA"
"Maine",1328361,1.6,"ME","[5.64e+05,4.23e+06]","ME","ME"
"Maryland",5773552,6.1,"MD","(4.23e+06,7.9e+06]","MD","MD"
"Massachusetts",6547629,2,"MA","(4.23e+06,7.9e+06]","MA","MA"
"Michigan",9883640,5.4,"MI","(7.9e+06,1.16e+07]","MI","MI"
"Minnesota",5303925,1.6,"MN","(4.23e+06,7.9e+06]","MN","MN"
"Mississippi",2967297,8.6,"MS","[5.64e+05,4.23e+06]","MS","MS"
"Missouri",5988927,6.6,"MO","(4.23e+06,7.9e+06]","MO","MO"
"Montana",989415,3.6,"MT","[5.64e+05,4.23e+06]","MT","MT"
"Nebraska",1826341,2.9,"NE","[5.64e+05,4.23e+06]","NE","NE"
"Nevada",2700551,6,"NV","[5.64e+05,4.23e+06]","NV","NV"
"New Hampshire",1316470,0.9,"NH","[5.64e+05,4.23e+06]","NH","NH"
"New Jersey",8791894,3.9,"NJ","(7.9e+06,1.16e+07]","NJ","NJ"
"New Mexico",2059179,4.8,"NM","[5.64e+05,4.23e+06]","NM","NM"
"New York",19378102,3.1,"NY","(1.89e+07,2.26e+07]","NY","NY"
"North Carolina",9535483,5.1,"NC","(7.9e+06,1.16e+07]","NC","NC"
"North Dakota",672591,3,"ND","[5.64e+05,4.23e+06]","ND","ND"
"Ohio",11536504,4,"OH","(7.9e+06,1.16e+07]","OH","OH"
"Oklahoma",3751351,4.5,"OK","[5.64e+05,4.23e+06]","OK","OK"
"Oregon",3831074,2,"OR","[5.64e+05,4.23e+06]","OR","OR"
"Pennsylvania",12702379,4.8,"PA","(1.16e+07,1.52e+07]","PA","PA"
"Rhode Island",1052567,2.4,"RI","[5.64e+05,4.23e+06]","RI","RI"
"South Carolina",4625364,6.4,"SC","(4.23e+06,7.9e+06]","SC","SC"
"South Dakota",814180,2.3,"SD","[5.64e+05,4.23e+06]","SD","SD"
"Tennessee",6346105,5.7,"TN","(4.23e+06,7.9e+06]","TN","TN"
"Texas",25145561,4.4,"TX","(2.26e+07,2.62e+07]","TX","TX"
"Utah",2763885,2.3,"UT","[5.64e+05,4.23e+06]","UT","UT"
"Vermont",625741,1.6,"VT","[5.64e+05,4.23e+06]","VT","VT"
"Virginia",8001024,4.1,"VA","(7.9e+06,1.16e+07]","VA","VA"
"Washington",6724540,2.5,"WA","(4.23e+06,7.9e+06]","WA","WA"
"West Virginia",1852994,4,"WV","[5.64e+05,4.23e+06]","WV","WV"
"Wisconsin",5686986,2.9,"WI","(4.23e+06,7.9e+06]","WI","WI"
"Wyoming",563626,2.7,"WY","[5.64e+05,4.23e+06]","WY","WY"
